spain 310             {'weight': 1}
spain currently       {'weight': 1}
spain judicial        {'weight': 1}
spain elections       {'weight': 1}
spain survey          {'weight': 1}
spain recent          {'weight': 1}
spain autonomas       {'weight': 1}
spain decentralized   {'weight': 1}
spain alhucemas       {'weight': 1}
spain australia       {'weight': 1}
spain resolutions     {'weight': 1}
spain spending        {'weight': 1}
spain elsewhere       {'weight': 1}
spain uk              {'weight': 1}
spain presided        {'weight': 1}
spain fighter         {'weight': 1}
spain summit          {'weight': 1}
spain came            {'weight': 1}
spain highways        {'weight': 1}
spain luxembourg      {'weight': 1}
spain ch47            {'weight': 1}
spain resources       {'weight': 1}
spain garden          {'weight': 1}
spain eve             {'weight': 1}
spain biomass         {'weight': 1}
spain hereditary      {'weight': 1}
spain makes           {'weight': 1}
spain illegal         {'weight': 1}
spain ministers       {'weight': 1}
spain doubling        {'weight': 1}
spain chinook         {'weight': 1}
spain boeing          {'weight': 1}
spain move            {'weight': 1}
spain produced        {'weight': 1}
spain secondmost      {'weight': 1}
spain bicameral       {'weight': 1}
spain mountainous     {'weight': 1}
spain worldwide       {'weight': 1}
spain brey            {'weight': 1}
spain fact            {'weight': 1}
spain centralized     {'weight': 1}
spain noirs           {'weight': 1}
spain economist       {'weight': 1}
spain handle          {'weight': 1}
spain comprising      {'weight': 1}
spain nuclear         {'weight': 1}
spain operative       {'weight': 1}
spain almudena        {'weight': 1}
spain degrees         {'weight': 1}
spain eurozone        {'weight': 1}
spain consists        {'weight': 1}
spain 15              {'weight': 1}
spain branches84      {'weight': 1}
spain excludes        {'weight': 1}
spain zone            {'weight': 1}
spain badajoz         {'weight': 1}
spain rodrguez        {'weight': 1}
spain sephardi        {'weight': 1}
spain worth           {'weight': 1}
spain southwest       {'weight': 1}
spain far             {'weight': 1}
spain vast            {'weight': 1}
spain organizationally {'weight': 1}
spain scandinavia     {'weight': 1}
spain crops           {'weight': 1}
spain philippines     {'weight': 1}
spain 1940s           {'weight': 1}
spain economically    {'weight': 1}
spain favoured        {'weight': 1}
spain smaller         {'weight': 1}
spain force           {'weight': 1}
spain rivers          {'weight': 1}
spain guadalquivir    {'weight': 1}
spain air             {'weight': 1}
spain even            {'weight': 1}
spain established     {'weight': 1}
spain stood           {'weight': 1}
spain 19th            {'weight': 1}
spain descendants     {'weight': 1}
spain shares          {'weight': 1}
spain importer        {'weight': 1}
spain catal           {'weight': 1}
spain mechanisms      {'weight': 1}
spain protection      {'weight': 1}
spain jcar            {'weight': 1}
spain active          {'weight': 1}
spain luis            {'weight': 1}
spain respect         {'weight': 1}
spain 107             {'weight': 1}
spain 104             {'weight': 1}
spain extreme         {'weight': 1}
spain dry             {'weight': 1}
spain indivisible     {'weight': 1}
spain ahead           {'weight': 1}
spain larger          {'weight': 1}
spain 35              {'weight': 1}
spain expulsion       {'weight': 1}
spain vlez            {'weight': 1}
spain rajoy           {'weight': 1}
spain composed        {'weight': 1}
spain 1900            {'weight': 1}
spain languagesthat   {'weight': 1}
spain arid            {'weight': 1}
spain crisis          {'weight': 1}
spain presidente      {'weight': 1}
spain permitted       {'weight': 1}
spain fuerzas         {'weight': 1}
spain two             {'weight': 1}
spain governance      {'weight': 1}
spain vineyard        {'weight': 1}
spain territories     {'weight': 1}
spain turia           {'weight': 1}
spain torre           {'weight': 1}
spain chafarinas      {'weight': 1}
spain historically    {'weight': 1}
spain separated       {'weight': 1}
spain inquisition     {'weight': 1}
spain parliament      {'weight': 1}
spain statutes        {'weight': 1}
spain soberana        {'weight': 1}
spain warm            {'weight': 1}
spain varying         {'weight': 1}
spain 7000            {'weight': 1}
spain appointed       {'weight': 1}
spain women           {'weight': 1}
spain account         {'weight': 1}
spain shared          {'weight': 1}
spain salvador        {'weight': 1}
spain 1996            {'weight': 1}
spain 1999            {'weight': 1}
spain remain          {'weight': 1}
spain budgets         {'weight': 1}
spain island          {'weight': 1}
spain latitudes       {'weight': 1}
spain control         {'weight': 1}
spain heart           {'weight': 1}
spain figure          {'weight': 1}
spain activities      {'weight': 1}
spain airports        {'weight': 1}
spain near            {'weight': 1}
spain 12198           {'weight': 1}
spain richness        {'weight': 1}
spain moriscos        {'weight': 1}
spain priorities      {'weight': 1}
spain 500000          {'weight': 1}
spain station         {'weight': 1}
spain summers         {'weight': 1}
spain autonomy        {'weight': 1}
spain six             {'weight': 1}
spain csb             {'weight': 1}
spain alvarado        {'weight': 1}
spain fourth          {'weight': 1}
spain native          {'weight': 1}
spain staying         {'weight': 1}
spain galicians       {'weight': 1}
spain ft              {'weight': 1}
spain 119120121       {'weight': 1}
spain 149             {'weight': 1}
spain 4th             {'weight': 1}
spain las             {'weight': 1}
spain thought         {'weight': 1}
spain branches        {'weight': 1}
spain prefers         {'weight': 1}
spain coal            {'weight': 1}
spain shore           {'weight': 1}
spain 123             {'weight': 1}
spain asserts         {'weight': 1}
spain representation  {'weight': 1}
spain subsequently    {'weight': 1}
spain make            {'weight': 1}
spain developed       {'weight': 1}
spain despite         {'weight': 1}
spain univocal        {'weight': 1}
spain 24              {'weight': 1}
spain cantabrians     {'weight': 1}
spain 20              {'weight': 1}
spain iberoamerican   {'weight': 1}
spain production      {'weight': 1}
spain policy          {'weight': 1}
spain practice        {'weight': 1}
spain break           {'weight': 1}
spain now             {'weight': 1}
spain investor        {'weight': 1}
spain rocky           {'weight': 1}
spain 47              {'weight': 1}
spain did             {'weight': 1}
spain rock            {'weight': 1}
spain crossing        {'weight': 1}
spain side            {'weight': 1}
spain characterized   {'weight': 1}
spain colombia        {'weight': 1}
spain house           {'weight': 1}
spain principles      {'weight': 1}
spain climatic        {'weight': 1}
spain balanced        {'weight': 1}
spain 88              {'weight': 1}
spain oil             {'weight': 1}
spain measure         {'weight': 1}
spain 80              {'weight': 1}
spain beyond          {'weight': 1}
spain 143             {'weight': 1}
spain canada          {'weight': 1}
spain network         {'weight': 1}
spain include         {'weight': 1}
spain dominated       {'weight': 1}
spain socalled        {'weight': 1}
spain independence    {'weight': 1}
spain cars            {'weight': 1}
spain five            {'weight': 1}
spain organic         {'weight': 1}
spain reason          {'weight': 1}
spain base            {'weight': 1}
spain put             {'weight': 1}
spain marine          {'weight': 1}
spain language        {'weight': 1}
spain created         {'weight': 1}
spain 505992          {'weight': 1}
spain transition      {'weight': 1}
spain florida         {'weight': 1}
spain times           {'weight': 1}
spain place           {'weight': 1}
spain castilians      {'weight': 1}
spain top             {'weight': 1}
spain major           {'weight': 1}
spain accordance      {'weight': 1}
spain armada          {'weight': 1}
spain another         {'weight': 1}
spain aire            {'weight': 1}
spain become          {'weight': 1}
spain leading         {'weight': 1}
spain 5th             {'weight': 1}
spain intelligence    {'weight': 1}
spain especially      {'weight': 1}
spain 18              {'weight': 1}
spain mostly          {'weight': 1}
spain mariano         {'weight': 1}
spain ukborn          {'weight': 1}
spain part            {'weight': 1}
spain believe         {'weight': 1}
spain linking         {'weight': 1}
spain 12              {'weight': 1}
spain isolation       {'weight': 1}
spain plateaus        {'weight': 1}
spain 2020            {'weight': 1}
spain ecuador         {'weight': 1}
spain attention       {'weight': 1}
spain palace          {'weight': 1}
spain modern          {'weight': 1}
spain longitudes      {'weight': 1}
spain 52ndlargest     {'weight': 1}
spain 13th            {'weight': 1}
spain substantial     {'weight': 1}
spain accounted       {'weight': 1}
spain hitherto        {'weight': 1}
spain devolution      {'weight': 1}
spain onset           {'weight': 1}
spain subjects        {'weight': 1}
spain austria         {'weight': 1}
spain belgium65       {'weight': 1}
spain experienced     {'weight': 1}
spain capitalist      {'weight': 1}
spain centre          {'weight': 1}
spain african         {'weight': 1}
spain reach           {'weight': 1}
spain 75              {'weight': 1}
spain segura          {'weight': 1}
spain minho           {'weight': 1}
spain later           {'weight': 1}
spain traditional     {'weight': 1}
spain sources         {'weight': 1}
spain typically       {'weight': 1}
spain cortes          {'weight': 1}
spain 4300            {'weight': 1}
spain particularly    {'weight': 1}
spain solar           {'weight': 1}
spain area            {'weight': 1}
spain relation        {'weight': 1}
spain armadas         {'weight': 1}
spain multilateral    {'weight': 1}
spain overtook        {'weight': 1}
spain partners        {'weight': 1}
spain northeast       {'weight': 1}
spain ratio           {'weight': 1}
spain justice         {'weight': 1}
spain multirole       {'weight': 1}
spain proportion      {'weight': 1}
spain hydroelectric   {'weight': 1}
spain 2174            {'weight': 1}
spain integrate       {'weight': 1}
spain local           {'weight': 1}
spain plazas          {'weight': 1}
spain 200000          {'weight': 1}
spain 10              {'weight': 1}
spain generales       {'weight': 1}
spain coast           {'weight': 1}
spain tierra          {'weight': 1}
spain 126             {'weight': 1}
spain 127             {'weight': 1}
spain report          {'weight': 1}
spain eurozones       {'weight': 1}
spain suffrage        {'weight': 1}
spain zapatero        {'weight': 1}
spain 137             {'weight': 1}
spain basques         {'weight': 1}
spain aspect          {'weight': 1}
spain national        {'weight': 1}
spain instituted      {'weight': 1}
spain zones           {'weight': 1}
spain korea           {'weight': 1}
spain recently        {'weight': 1}
